epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7714,2.37015,2.87691,0.00338,0.10609,0.50652,0.21092,0.09037,2.18042,2.44242,0.00375,0.000653333,0.000653333,0.000653333
2,38.0161,2.30486,1.97527,0.003,0.41628,0.37789,0.30873,0.13647,2.20948,1.88302,0.00377,0.00131564,0.00131564,0.00131564
3,57.1492,2.3196,1.83896,0.00298,0.47774,0.39438,0.35958,0.1708,2.12764,1.70343,0.00369,0.00197355,0.00197355,0.00197355
4,75.4968,2.28284,1.76608,0.00296,0.51358,0.39893,0.39632,0.19374,2.20072,1.63798,0.00374,0.0019802,0.0019802,0.0019802
5,93.9194,2.26342,1.69265,0.00294,0.49585,0.39783,0.38428,0.19175,2.15858,1.61688,0.00378,0.0019736,0.0019736,0.0019736
6,112.078,2.29282,1.62232,0.00281,0.56057,0.41731,0.42879,0.21555,2.17049,1.52646,0.00358,0.001967,0.001967,0.001967
7,131.149,2.26503,1.58157,0.00283,0.58508,0.42752,0.45501,0.23986,2.07454,1.4609,0.00348,0.0019604,0.0019604,0.0019604
8,149.102,2.24021,1.56258,0.00285,0.57155,0.4239,0.44547,0.22955,2.09404,1.58551,0.00349,0.0019538,0.0019538,0.0019538
9,167.225,2.24451,1.51555,0.0028,0.57791,0.43481,0.46086,0.2427,2.10452,1.46421,0.00354,0.0019472,0.0019472,0.0019472
10,185.618,2.23386,1.48869,0.00281,0.60452,0.43003,0.46237,0.24163,2.13697,1.47528,0.00356,0.0019406,0.0019406,0.0019406
11,204.03,2.19684,1.46028,0.00273,0.61516,0.44055,0.48469,0.25885,2.07544,1.39195,0.00347,0.001934,0.001934,0.001934
12,222.792,2.19929,1.4462,0.00275,0.60297,0.42552,0.46727,0.24099,2.10128,1.41505,0.00355,0.0019274,0.0019274,0.0019274
13,241.395,2.22039,1.45075,0.00277,0.60154,0.42228,0.45977,0.23818,2.18683,1.42954,0.00361,0.0019208,0.0019208,0.0019208
14,260.05,2.20451,1.42427,0.00273,0.64842,0.45375,0.50118,0.25715,2.10004,1.36021,0.00355,0.0019142,0.0019142,0.0019142
15,278.412,2.18366,1.40821,0.00271,0.64344,0.43562,0.48726,0.258,2.08124,1.39254,0.00343,0.0019076,0.0019076,0.0019076
16,296.819,2.21513,1.40956,0.00275,0.60317,0.45429,0.49277,0.2637,2.06213,1.40329,0.00342,0.001901,0.001901,0.001901
17,315.124,2.22136,1.41165,0.00273,0.65052,0.44872,0.50758,0.271,2.04738,1.33877,0.0034,0.0018944,0.0018944,0.0018944
18,333.736,2.19524,1.35959,0.00258,0.62746,0.44731,0.50439,0.26619,2.06109,1.39317,0.00349,0.0018878,0.0018878,0.0018878
19,352.115,2.18585,1.38087,0.00265,0.62654,0.44688,0.49093,0.25843,2.08831,1.42751,0.00343,0.0018812,0.0018812,0.0018812
20,370.493,2.14883,1.37035,0.00263,0.62334,0.4528,0.49606,0.26753,2.07784,1.37734,0.00339,0.0018746,0.0018746,0.0018746
21,388.977,2.17985,1.36941,0.00264,0.63839,0.44746,0.49144,0.25928,2.0879,1.36418,0.00368,0.001868,0.001868,0.001868
